central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.459423,2.122420,0.025000,0.044000,0.000000,0.000000,1.000000,0.000000550
0.475923,2.084920,0.058000,0.031000,0.000000,0.000000,1.000000,0.000000550
0.480000,1.711476,0.040000,0.060387,0.000000,0.000000,1.000000,0.000000550
0.480000,1.771864,0.040000,0.060387,0.000000,0.000000,1.000000,0.000000550
0.459423,-2.133580,0.025000,0.044000,0.000000,0.000000,1.000000,0.000000550
0.475923,-2.096080,0.058000,0.031000,0.000000,0.000000,1.000000,0.000000550
0.480000,-1.783024,0.040000,0.060387,0.000000,0.000000,1.000000,0.000000550
0.480000,-1.722636,0.040000,0.060387,0.000000,0.000000,1.000000,0.000000550
