central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
0.872979,-1.497810,0.003000,0.080000,0.000000,0.000000,1.000000,0.000000550
0.900729,-1.536310,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.953229,-1.536310,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.900729,-1.459310,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.953229,-1.459310,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.977979,-1.497810,0.003000,0.074000,0.000000,0.000000,1.000000,0.000000550
0.872979,1.493210,0.003000,0.080000,0.000000,0.000000,1.000000,0.000000550
0.900729,1.531710,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.953229,1.531710,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.900729,1.454710,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.953229,1.454710,0.052500,0.003000,0.000000,0.000000,1.000000,0.000000550
0.977979,1.493210,0.003000,0.074000,0.000000,0.000000,1.000000,0.000000550
