central_R,central_Z,width_R,width_Z,ang1,ang2,turns,resistivity
2.009500,-2.126068,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-2.027205,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.928341,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.829477,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.730614,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.631750,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.532886,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.434023,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.335159,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.236295,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.137432,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-1.038568,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.939705,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.840841,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.741977,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.643114,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.544250,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.445386,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.346523,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.247659,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.148795,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,-0.049932,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.048932,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.147795,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.246659,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.345523,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.444386,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.543250,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.642114,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.740977,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.839841,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,0.938705,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.037568,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.136432,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.235295,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.334159,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.433023,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.531886,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.630750,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.729614,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.828477,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,1.927341,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,2.026205,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.009500,2.125068,0.020000,0.098864,0.000000,0.000000,1.000000,0.000000550
2.069500,-2.150500,0.100000,0.050000,0.000000,0.000000,1.000000,0.000000550
2.069500,2.154500,0.100000,0.040000,0.000000,0.000000,1.000000,0.000000550
0.309646,2.203804,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.406909,2.204160,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.504172,2.204516,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.601434,2.204872,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.698697,2.205229,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.795959,2.205585,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.893222,2.205941,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
0.990485,2.206297,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
1.087747,2.206654,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
1.185010,2.207010,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
1.282273,2.207366,0.097263,0.020000,0.000000,0.003663,1.000000,0.000000550
