R,Z,dR,dZ
335.4,1612.35,5,43.5
336.3,1557.75,3.2,65.7
389.5,1524.9,106.4,4
442.7,1551.7,3.2,53.6
444.1,1595.8,6,34.6
445.1,1623.6,8,21
390.25,1634.1,109.7,8
