R,Z,dR,dZ
770.75,1962.95,12.7,12.7
785.45,1962.95,12.7,12.7
800.15,1962.95,12.7,12.7
814.85,1962.95,12.7,12.7
829.55,1962.95,12.7,12.7
844.25,1962.95,12.7,12.7
770.75,1977.65,12.7,12.7
785.45,1977.65,12.7,12.7
800.15,1977.65,12.7,12.7
814.85,1977.65,12.7,12.7
829.55,1977.65,12.7,12.7
844.25,1977.65,12.7,12.7
770.75,1992.35,12.7,12.7
785.45,1992.35,12.7,12.7
800.15,1992.35,12.7,12.7
814.85,1992.35,12.7,12.7
829.55,1992.35,12.7,12.7
844.25,1992.35,12.7,12.7
770.75,2007.05,12.7,12.7
785.45,2007.05,12.7,12.7
800.15,2007.05,12.7,12.7
814.85,2007.05,12.7,12.7
829.55,2007.05,12.7,12.7
