R,Z,dR,dZ
1877.95,1905.9,12.7,12.7
1892.65,1905.9,12.7,12.7
1907.35,1905.9,12.7,12.7
1922.05,1905.9,12.7,12.7
1877.95,1920.6,12.7,12.7
1892.65,1920.6,12.7,12.7
1907.35,1920.6,12.7,12.7
1922.05,1920.6,12.7,12.7
1877.95,1935.3,12.7,12.7
1892.65,1935.3,12.7,12.7
1907.35,1935.3,12.7,12.7
1922.05,1935.3,12.7,12.7
1877.95,1950,12.7,12.7
1892.65,1950,12.7,12.7
1907.35,1950,12.7,12.7
1922.05,1950,12.7,12.7
1877.95,1964.7,12.7,12.7
1892.65,1964.7,12.7,12.7
1907.35,1964.7,12.7,12.7
1922.05,1964.7,12.7,12.7
1877.95,1979.4,12.7,12.7
1892.65,1979.4,12.7,12.7
1907.35,1979.4,12.7,12.7
1922.05,1979.4,12.7,12.7
1877.95,1994.1,12.7,12.7
1892.65,1994.1,12.7,12.7
1907.35,1994.1,12.7,12.7
