R,Z,dR,dZ
175.5,-447.0838509,12,18
189,-447.0838509,12,18
202.5,-447.0838509,12,18
216,-447.0838509,12,18
175.5,-428.0590062,12,18
189,-428.0590062,12,18
202.5,-428.0590062,12,18
216,-428.0590062,12,18
175.5,-409.0341615,12,18
189,-409.0341615,12,18
202.5,-409.0341615,12,18
216,-409.0341615,12,18
175.5,-390.0093168,12,18
189,-390.0093168,12,18
202.5,-390.0093168,12,18
216,-390.0093168,12,18
175.5,-370.984472,12,18
189,-370.984472,12,18
202.5,-370.984472,12,18
216,-370.984472,12,18
175.5,-351.9596273,12,18
189,-351.9596273,12,18
202.5,-351.9596273,12,18
216,-351.9596273,12,18
175.5,-332.9347826,12,18
189,-332.9347826,12,18
202.5,-332.9347826,12,18
216,-332.9347826,12,18
175.5,-313.9099379,12,18
189,-313.9099379,12,18
202.5,-313.9099379,12,18
216,-313.9099379,12,18
175.5,-294.8850932,12,18
189,-294.8850932,12,18
202.5,-294.8850932,12,18
216,-294.8850932,12,18
175.5,-275.8602484,12,18
189,-275.8602484,12,18
202.5,-275.8602484,12,18
216,-275.8602484,12,18
175.5,-256.8354037,12,18
189,-256.8354037,12,18
202.5,-256.8354037,12,18
216,-256.8354037,12,18
175.5,-237.810559,12,18
189,-237.810559,12,18
202.5,-237.810559,12,18
216,-237.810559,12,18
175.5,-218.7857143,12,18
189,-218.7857143,12,18
202.5,-218.7857143,12,18
216,-218.7857143,12,18
175.5,-199.7608696,12,18
189,-199.7608696,12,18
202.5,-199.7608696,12,18
216,-199.7608696,12,18
175.5,-180.7360248,12,18
189,-180.7360248,12,18
202.5,-180.7360248,12,18
216,-180.7360248,12,18
175.5,-161.7111801,12,18
189,-161.7111801,12,18
202.5,-161.7111801,12,18
216,-161.7111801,12,18
175.5,-142.6863354,12,18
189,-142.6863354,12,18
202.5,-142.6863354,12,18
216,-142.6863354,12,18
175.5,-123.6614907,12,18
189,-123.6614907,12,18
202.5,-123.6614907,12,18
216,-123.6614907,12,18
175.5,-104.636646,12,18
189,-104.636646,12,18
202.5,-104.636646,12,18
216,-104.636646,12,18
175.5,-85.61180124,12,18
189,-85.61180124,12,18
202.5,-85.61180124,12,18
216,-85.61180124,12,18
175.5,-66.58695652,12,18
189,-66.58695652,12,18
202.5,-66.58695652,12,18
216,-66.58695652,12,18
175.5,-47.5621118,12,18
189,-47.5621118,12,18
202.5,-47.5621118,12,18
216,-47.5621118,12,18
175.5,-28.53726708,12,18
189,-28.53726708,12,18
202.5,-28.53726708,12,18
216,-28.53726708,12,18
175.5,-9.51242236,12,18
189,-9.51242236,12,18
202.5,-9.51242236,12,18
216,-9.51242236,12,18
175.5,9.51242236,12,18
189,9.51242236,12,18
202.5,9.51242236,12,18
216,9.51242236,12,18
175.5,28.53726708,12,18
189,28.53726708,12,18
202.5,28.53726708,12,18
216,28.53726708,12,18
175.5,47.5621118,12,18
189,47.5621118,12,18
202.5,47.5621118,12,18
216,47.5621118,12,18
175.5,66.58695652,12,18
189,66.58695652,12,18
202.5,66.58695652,12,18
216,66.58695652,12,18
175.5,85.61180124,12,18
189,85.61180124,12,18
202.5,85.61180124,12,18
216,85.61180124,12,18
175.5,104.636646,12,18
189,104.636646,12,18
202.5,104.636646,12,18
216,104.636646,12,18
175.5,123.6614907,12,18
189,123.6614907,12,18
202.5,123.6614907,12,18
216,123.6614907,12,18
175.5,142.6863354,12,18
189,142.6863354,12,18
202.5,142.6863354,12,18
216,142.6863354,12,18
175.5,161.7111801,12,18
189,161.7111801,12,18
202.5,161.7111801,12,18
216,161.7111801,12,18
175.5,180.7360248,12,18
189,180.7360248,12,18
202.5,180.7360248,12,18
216,180.7360248,12,18
175.5,199.7608696,12,18
189,199.7608696,12,18
202.5,199.7608696,12,18
216,199.7608696,12,18
175.5,218.7857143,12,18
189,218.7857143,12,18
202.5,218.7857143,12,18
216,218.7857143,12,18
175.5,237.810559,12,18
189,237.810559,12,18
202.5,237.810559,12,18
216,237.810559,12,18
175.5,256.8354037,12,18
189,256.8354037,12,18
202.5,256.8354037,12,18
216,256.8354037,12,18
175.5,275.8602484,12,18
189,275.8602484,12,18
202.5,275.8602484,12,18
216,275.8602484,12,18
175.5,294.8850932,12,18
189,294.8850932,12,18
202.5,294.8850932,12,18
216,294.8850932,12,18
175.5,313.9099379,12,18
189,313.9099379,12,18
202.5,313.9099379,12,18
216,313.9099379,12,18
175.5,332.9347826,12,18
189,332.9347826,12,18
202.5,332.9347826,12,18
216,332.9347826,12,18
175.5,351.9596273,12,18
189,351.9596273,12,18
202.5,351.9596273,12,18
216,351.9596273,12,18
175.5,370.984472,12,18
189,370.984472,12,18
202.5,370.984472,12,18
216,370.984472,12,18
175.5,390.0093168,12,18
189,390.0093168,12,18
202.5,390.0093168,12,18
216,390.0093168,12,18
175.5,409.0341615,12,18
189,409.0341615,12,18
202.5,409.0341615,12,18
216,409.0341615,12,18
175.5,428.0590062,12,18
189,428.0590062,12,18
202.5,428.0590062,12,18
216,428.0590062,12,18
175.5,447.0838509,12,18
189,447.0838509,12,18
202.5,447.0838509,12,18
216,447.0838509,12,18
175.5,466.1086957,12,18
189,466.1086957,12,18
202.5,466.1086957,12,18
216,466.1086957,12,18
175.5,485.1335404,12,18
189,485.1335404,12,18
202.5,485.1335404,12,18
216,485.1335404,12,18
175.5,504.1583851,12,18
189,504.1583851,12,18
202.5,504.1583851,12,18
216,504.1583851,12,18
175.5,523.1832298,12,18
189,523.1832298,12,18
202.5,523.1832298,12,18
216,523.1832298,12,18
175.5,542.2080745,12,18
189,542.2080745,12,18
202.5,542.2080745,12,18
216,542.2080745,12,18
175.5,561.2329193,12,18
189,561.2329193,12,18
202.5,561.2329193,12,18
216,561.2329193,12,18
175.5,580.257764,12,18
189,580.257764,12,18
202.5,580.257764,12,18
216,580.257764,12,18
175.5,599.2826087,12,18
189,599.2826087,12,18
202.5,599.2826087,12,18
216,599.2826087,12,18
175.5,618.3074534,12,18
189,618.3074534,12,18
202.5,618.3074534,12,18
216,618.3074534,12,18
175.5,637.3322981,12,18
189,637.3322981,12,18
202.5,637.3322981,12,18
216,637.3322981,12,18
175.5,656.3571429,12,18
189,656.3571429,12,18
202.5,656.3571429,12,18
216,656.3571429,12,18
175.5,675.3819876,12,18
189,675.3819876,12,18
202.5,675.3819876,12,18
216,675.3819876,12,18
175.5,694.4068323,12,18
189,694.4068323,12,18
202.5,694.4068323,12,18
216,694.4068323,12,18
175.5,713.431677,12,18
189,713.431677,12,18
202.5,713.431677,12,18
216,713.431677,12,18
175.5,732.4565217,12,18
189,732.4565217,12,18
202.5,732.4565217,12,18
216,732.4565217,12,18
175.5,751.4813665,12,18
189,751.4813665,12,18
202.5,751.4813665,12,18
216,751.4813665,12,18
175.5,770.5062112,12,18
189,770.5062112,12,18
202.5,770.5062112,12,18
216,770.5062112,12,18
175.5,789.5310559,12,18
189,789.5310559,12,18
202.5,789.5310559,12,18
216,789.5310559,12,18
175.5,808.5559006,12,18
