R,Z,dR,dZ
529.75,1716.95,12.7,12.7
544.45,1716.95,12.7,12.7
559.15,1716.95,12.7,12.7
573.85,1716.95,12.7,12.7
588.55,1716.95,12.7,12.7
603.25,1716.95,12.7,12.7
529.75,1731.65,12.7,12.7
544.45,1731.65,12.7,12.7
559.15,1731.65,12.7,12.7
573.85,1731.65,12.7,12.7
588.55,1731.65,12.7,12.7
603.25,1731.65,12.7,12.7
529.75,1746.35,12.7,12.7
544.45,1746.35,12.7,12.7
559.15,1746.35,12.7,12.7
573.85,1746.35,12.7,12.7
588.55,1746.35,12.7,12.7
603.25,1746.35,12.7,12.7
529.75,1761.05,12.7,12.7
544.45,1761.05,12.7,12.7
559.15,1761.05,12.7,12.7
573.85,1761.05,12.7,12.7
588.55,1761.05,12.7,12.7
